ActualElapsedTime,CRSArrTime,CRSDepTime,DayofMonth,DayofWeek,Dest,Distance,FlightNum,Month,Origin,UniqueCarrier,Year,label_ArrDelayBinary
79,9,2245,16,3,267,336,907,2,249,25,2005,0
83,35,2200,7,1,198,550,984,5,227,26,2001,0
224,1323,1144,24,1,242,1426,593,3,226,16,2003,1
71,2204,1945,20,3,231,495,742,5,87,24,1998,1
58,1125,1020,23,4,234,325,440,7,250,26,1998,0
107,1354,1100,30,1,181,733,70,9,239,24,1991,0
63,49,2340,17,1,80,366,2023,1,20,7,2000,1
98,1806,1520,1,5,87,592,1530,6,74,7,2001,0
64,1209,1110,30,6,223,284,1245,10,126,16,1993,1
54,2147,2040,23,2,282,215,637,9,20,7,2003,1
99,851,735,14,1,20,306,1789,12,135,7,1998,1
100,1828,1540,20,6,87,641,450,2,87,24,1999,0
99,2310,2020,4,5,267,647,2384,2,239,1,1994,0
156,1352,915,6,3,78,1069,482,10,87,7,2004,0
135,2011,1700,19,3,20,813,1808,3,22,7,2008,1
61,1700,1555,19,5,87,282,3620,10,180,15,2007,0
209,1143,859,22,1,87,1389,721,7,184,1,2002,0
40,1301,1220,8,4,73,72,7073,3,87,28,2007,0
112,1426,1217,13,6,181,761,366,1,20,11,2007,0
135,1212,900,3,1,223,874,1266,10,53,16,1994,0
103,1025,855,18,1,174,414,1401,4,295,24,1994,1
149,1213,942,25,3,279,966,1092,9,255,25,1996,1
201,1231,800,2,7,290,1449,2,1,16,3,2005,0
184,1921,1417,20,1,87,1189,484,6,238,1,2005,1
179,1026,830,8,7,299,1086,1655,12,285,7,2002,0
93,1925,1745,15,5,66,458,2135,8,164,27,2003,0
52,1855,1800,6,7,234,197,2730,1,177,26,2008,1
65,1840,1620,26,4,78,230,4995,4,39,17,2007,0
170,1841,1700,18,3,235,733,677,7,184,24,2001,1
113,1257,1055,24,7,149,642,5220,7,79,17,2005,0
70,1910,1800,16,2,181,214,2182,9,86,25,2003,0
26,845,822,18,6,73,37,246,8,263,22,1990,1
38,0,0,24,1,280,109,2861,7,179,24,2000,1
51,1544,1446,5,6,87,175,744,8,235,1,2006,0
78,1906,1730,20,6,68,448,1437,9,249,25,2003,0
86,1311,1045,19,3,251,462,1053,6,39,25,2002,0
94,835,700,9,6,242,543,1328,11,232,26,1996,0
50,2340,2345,2,4,37,214,908,4,20,7,1992,0
79,1956,1844,20,7,184,304,3783,11,89,15,2005,1
276,2126,1903,31,4,176,1745,873,8,239,1,2006,1
82,1135,1105,5,4,309,487,1455,10,67,26,1995,1
80,2027,1920,30,3,157,261,565,1,67,19,1991,1
62,2201,2048,6,3,87,224,1687,2,154,5,1991,0
99,1935,1735,16,7,105,404,282,7,67,5,2000,1
181,1656,1315,13,5,241,1103,1706,2,89,7,2004,1
89,1310,1150,4,4,291,337,1936,9,179,1,2008,1
67,816,703,4,1,267,356,1250,11,20,1,1991,0
101,1904,1725,22,7,202,559,884,5,22,16,1994,0
113,1510,1315,23,7,290,605,1010,12,305,26,2007,1
105,745,700,29,6,280,636,1029,1,102,26,1994,0
59,1855,1855,17,7,2,289,1793,11,180,26,2002,1
82,2230,2105,10,1,50,495,1341,3,293,26,2003,0
217,1834,1710,10,3,174,1300,717,4,226,16,2002,1
117,1926,1830,11,7,200,590,1212,1,20,7,2004,1
295,600,2230,15,7,39,2381,1814,12,177,7,1996,1
86,2152,2035,20,7,236,284,3261,11,107,27,2005,1
161,1325,950,10,1,113,1119,286,12,89,7,1990,1
170,757,600,19,7,223,980,1045,3,249,16,2000,0
73,1204,1045,23,3,39,399,2030,3,86,25,2005,1
57,1431,1329,2,7,235,177,1027,4,160,24,2000,1
137,725,710,19,3,246,868,2851,6,89,13,1996,1
117,711,600,17,1,235,733,699,7,184,24,2000,0
84,820,645,29,1,26,548,1950,11,95,16,2004,0
73,2040,2025,7,1,284,328,1757,4,255,25,1997,0
125,2206,1959,24,7,291,679,492,6,294,3,2001,0
70,1905,1805,25,2,151,224,1198,6,89,5,1996,1
309,2325,1510,29,1,245,2401,30,7,179,25,2002,0
164,1210,835,6,6,223,981,624,3,2,16,1993,1
117,1140,1002,5,7,198,534,1235,9,271,1,1993,1
106,1816,1727,22,4,246,602,439,10,87,24,1992,0
395,1212,900,26,5,291,2586,179,5,171,1,1995,1
109,2050,1945,10,7,31,682,1286,12,52,26,2006,0
74,945,830,12,1,296,342,657,2,307,26,2001,1
68,1250,1130,11,3,246,370,1226,7,179,26,2001,1
180,1335,1100,13,5,151,925,447,6,239,5,2008,1
62,1043,945,28,1,31,177,1017,1,39,1,1991,1
116,1701,1558,19,1,73,592,1729,6,89,1,2000,0
119,1604,1405,22,2,105,631,3372,2,334,27,2005,1
70,735,620,10,4,322,453,402,4,147,26,1997,0
284,604,2155,4,5,223,2518,844,3,16,16,2005,1
152,1354,921,23,2,196,1044,598,6,250,13,1992,0
38,1845,1810,4,1,68,83,5,1,135,20,1988,1
91,1228,1055,30,6,176,390,7829,8,276,27,2008,0
59,925,910,21,2,235,235,165,4,95,16,1992,0
97,1800,1527,17,3,92,589,1190,1,87,24,2001,1
55,2145,2040,27,2,50,220,1151,8,164,26,2002,0
50,1630,1548,7,5,246,110,2227,5,328,13,1999,1
69,1635,1618,26,6,235,296,157,5,70,24,2001,0
177,1140,945,15,5,87,1062,2055,9,271,1,2006,0
179,1346,1115,20,1,105,938,693,12,201,5,2004,1
113,1008,815,20,7,93,594,738,2,20,7,2000,0
80,1940,1825,6,1,280,417,745,3,300,26,1995,1
138,1138,820,4,1,87,988,1122,11,303,1,1991,0
92,1000,825,8,4,181,431,4886,4,271,15,2004,0
54,952,850,8,4,189,215,4165,11,239,15,2001,0
82,714,700,16,3,235,316,353,6,67,24,1993,1
321,1730,900,7,1,168,2586,18,7,295,24,2003,0
74,1921,1800,7,7,176,337,1125,11,295,24,1993,1
268,2030,1905,25,3,174,1750,1195,9,95,16,1996,1
72,1555,1445,30,1,68,329,1469,4,170,25,1990,0
104,2230,1940,6,4,196,718,1265,4,2,26,1995,1
75,1715,1600,12,2,272,444,604,10,246,3,1993,0
292,12,1610,13,5,150,2419,1137,7,295,24,2007,0
113,1200,1109,14,2,2,569,683,8,89,1,2001,0
174,2355,1845,4,3,196,1333,2267,6,284,26,2008,1
112,2054,1948,1,5,235,606,549,3,20,1,1996,0
170,1035,755,1,6,290,954,85,5,179,3,1993,1
153,843,600,15,6,151,925,1103,4,239,5,2000,0
69,1450,1340,16,3,174,258,1406,2,284,26,2005,0
57,2039,1935,17,6,282,215,1498,6,20,7,2000,0
103,928,800,7,6,270,481,4580,1,20,9,2006,1
62,1335,1230,15,2,48,281,1462,6,52,25,1993,0
123,814,600,8,2,93,614,1821,1,264,16,2002,0
131,1014,800,28,2,50,842,491,3,323,11,2006,0
85,827,700,24,7,291,421,177,2,262,3,2002,0
172,1826,1659,3,5,309,719,475,2,86,22,1995,1
112,2153,1925,11,4,281,786,199,1,313,22,1990,1
87,2102,2040,22,1,174,368,1007,11,303,7,2004,1
126,1648,1457,5,2,150,631,7304,8,170,28,2008,1
148,1759,1532,29,3,168,1005,436,6,323,7,1988,1
120,1801,1430,9,5,20,906,1731,8,226,7,2002,0
132,2002,1750,3,7,232,781,2878,8,154,27,2008,1
172,1220,845,4,3,223,981,624,8,2,16,1999,1
125,903,700,16,6,20,581,1052,2,115,7,2008,0
39,1919,1840,23,1,220,77,1070,3,295,24,1992,0
72,1800,1639,24,1,87,190,3268,3,298,15,2008,0
292,2122,1910,14,7,280,2026,149,4,67,5,1996,0
266,1456,830,5,2,105,1968,1022,4,303,7,2005,0
73,2057,2035,16,7,235,235,889,4,95,16,1995,0
121,2135,1825,9,5,39,867,136,10,239,16,1987,0
121,1118,933,19,6,93,453,1779,2,249,16,2005,1
212,2152,2015,21,1,176,1363,577,3,199,25,1994,0
51,1222,1142,15,7,279,110,222,1,323,22,1989,1
90,1710,1545,2,3,280,447,670,8,295,26,2000,1
129,2050,1740,13,7,20,732,722,2,89,7,2005,0
152,1210,840,26,7,105,946,970,9,205,16,2004,1
44,1325,1245,12,7,143,163,91,8,173,2,2007,0
272,600,2231,4,4,198,2217,2542,3,179,7,2004,1
54,2230,2140,9,1,207,193,1403,10,201,7,1995,1
70,810,700,23,3,301,358,1725,6,51,26,1999,0
114,1129,1030,19,7,223,528,745,11,95,16,2000,0
44,1805,1712,20,1,133,153,1482,4,20,7,1992,0
157,1005,820,17,1,223,931,611,10,86,16,2005,1
189,1653,1449,9,6,207,700,625,7,271,1,2005,1
94,1124,950,11,3,223,449,592,1,313,16,1989,1
195,1409,1115,25,3,39,1011,5153,6,170,17,2008,1
62,1002,850,8,3,20,270,1561,12,170,7,2004,0
182,841,634,21,2,87,999,557,11,135,1,1995,0
74,1815,1700,26,4,37,395,1535,12,203,26,1996,1
42,1700,1615,20,6,81,181,206,4,235,26,1996,0
181,1301,1005,16,2,93,1127,241,9,115,16,1997,0
45,1837,1750,28,1,69,144,599,1,255,25,1991,0
56,1955,1810,19,7,20,147,1478,10,208,7,1997,1
170,1638,1400,25,1,87,853,3650,3,213,15,2002,1
84,1321,1200,24,6,176,337,2033,4,295,24,1999,0
73,1104,1045,15,6,235,235,1145,5,95,24,2004,0
240,1847,1600,22,6,223,1501,573,12,210,16,1990,1
73,1115,1105,29,4,246,328,386,6,2,26,1995,1
229,1624,1055,23,4,309,1558,312,6,284,22,1988,1
79,1244,1230,5,4,235,264,1148,10,79,7,2000,1
50,1959,1905,4,7,69,155,1833,6,95,16,1995,0
49,2018,1910,15,2,25,225,6126,6,79,6,2004,1
325,2051,1810,27,1,291,2296,37,12,69,25,2004,1
74,1315,1210,22,6,132,304,511,11,255,25,1997,1
90,745,720,2,4,309,307,509,9,79,22,1999,1
182,1608,1440,1,6,242,992,1429,8,87,24,1998,1
196,1740,1320,12,3,181,1389,730,5,89,1,1999,1
73,1617,1507,30,7,87,224,1890,6,154,1,2002,0
66,2029,1925,23,6,317,223,1716,6,20,7,2007,1
76,1350,1229,3,1,174,414,2186,4,295,24,1995,0
224,605,2320,10,3,20,1747,2618,3,177,13,1999,0
110,955,700,10,6,245,678,160,8,239,1,1991,0
46,1503,1425,30,7,73,72,1956,7,87,24,2000,1
130,2203,2045,14,2,87,812,2075,9,79,7,1999,0
36,1141,1105,20,4,291,77,6533,11,223,18,2003,1
98,1930,1639,23,7,84,612,1442,4,239,1,2006,1
65,1520,1400,23,1,301,358,1707,3,51,26,1992,0
150,1732,1458,8,4,290,954,281,2,179,3,1996,1
120,1409,1301,11,6,85,641,1769,12,89,1,1993,0
64,1438,1321,15,5,157,451,816,4,199,8,1988,0
63,1620,1500,11,6,235,334,136,2,226,16,1995,0
187,1205,1100,7,3,246,1301,149,7,227,26,2004,1
250,2022,1755,8,5,168,944,42,12,201,4,2006,1
184,1441,1235,13,6,235,1197,303,5,210,24,1995,1
293,1507,1200,9,5,87,2165,633,11,302,1,2001,1
114,1837,1632,17,7,229,646,623,10,250,13,2004,0
75,1916,1755,17,7,223,334,217,5,239,24,1992,0
108,853,700,3,4,20,554,1133,6,67,7,2004,0
68,1245,1235,5,1,246,328,1779,4,2,26,1999,1
146,1330,1035,26,7,198,944,2481,8,171,7,2001,0
73,743,630,28,6,68,329,484,12,170,25,1996,0
73,1806,1658,22,5,61,259,469,4,20,7,2005,1
80,1625,1505,3,7,49,369,239,4,250,26,2005,0
71,1216,1105,30,3,20,227,237,9,69,25,1998,0
100,1947,1655,12,5,20,606,1220,5,239,24,1995,0
83,2052,1930,27,2,166,408,1696,7,89,7,1999,1
66,2030,1925,30,4,309,251,876,5,203,26,1996,1
104,1108,1025,13,3,235,528,297,10,278,1,1993,1
78,1036,925,9,3,43,308,2349,7,154,27,2003,1
57,755,755,20,5,2,277,312,6,15,26,2008,1
138,901,733,10,4,87,919,1079,7,170,1,2003,1
96,800,640,7,5,202,369,1290,8,339,16,1998,1
81,1216,947,15,3,246,369,233,1,51,13,2003,0
62,1910,1710,26,5,69,284,249,10,203,26,2001,1
81,2020,1900,15,7,280,446,907,3,232,26,1998,1
73,1250,1125,22,7,32,455,449,2,87,24,1998,1
